DiscreteStateTransitionsDataset summary:
 Features:
  p_t_1: ['0', '1', '2']
  q_t_1: ['0', '1', '2', '3']
  r_t_1: ['0', '1']
  s_t_1: ['0', '1']
 Targets:
  p_t: ['0', '1', '2']
  q_t: ['0', '1', '2', '3']
  r_t: ['0', '1']
  s_t: ['0', '1']
 Data:
  (['0', '0', '0', '0'], ['0', '0', '0', '1'])
  (['1', '1', '1', '0'], ['2', '1', '1', '0'])
  (['0', '2', '1', '0'], ['0', '2', '0', '0'])
  (['0', '2', '1', '0'], ['0', '3', '1', '0'])
  (['0', '2', '1', '0'], ['1', '2', '1', '0'])
  (['1', '2', '1', '0'], ['1', '2', '0', '0'])
  (['1', '2', '1', '0'], ['1', '3', '1', '0'])
  (['1', '2', '1', '0'], ['2', '2', '1', '0'])
  (['2', '2', '1', '0'], ['2', '2', '0', '0'])
  (['2', '2', '1', '0'], ['2', '1', '1', '0'])
  (['0', '3', '1', '0'], ['0', '3', '0', '0'])
  (['0', '3', '1', '0'], ['0', '2', '1', '0'])
  (['0', '3', '1', '0'], ['1', '3', '1', '0'])
  (['1', '3', '1', '0'], ['1', '3', '0', '0'])
  (['1', '3', '1', '0'], ['1', '2', '1', '0'])
  (['1', '3', '1', '0'], ['2', '3', '1', '0'])
  (['2', '3', '1', '0'], ['2', '3', '0', '0'])
  (['2', '3', '1', '0'], ['2', '2', '1', '0'])
  (['0', '0', '0', '1'], ['0', '0', '1', '1'])
  (['0', '0', '0', '1'], ['0', '1', '0', '1'])
  (['0', '0', '0', '1'], ['1', '0', '0', '1'])
  (['2', '0', '0', '1'], ['2', '0', '0', '0'])
  (['1', '0', '0', '1'], ['1', '0', '0', '0'])
  (['1', '0', '0', '1'], ['1', '0', '1', '1'])
  (['1', '0', '0', '1'], ['1', '1', '0', '1'])
  (['1', '0', '0', '1'], ['2', '0', '0', '1'])
  (['0', '1', '0', '1'], ['0', '1', '1', '1'])
  (['0', '1', '0', '1'], ['0', '2', '0', '1'])
  (['2', '1', '0', '1'], ['2', '1', '0', '0'])
  (['2', '1', '0', '1'], ['2', '0', '0', '1'])
  (['2', '1', '0', '1'], ['1', '1', '0', '1'])
  (['1', '1', '0', '1'], ['1', '1', '0', '0'])
  (['1', '1', '0', '1'], ['1', '1', '1', '1'])
  (['1', '1', '0', '1'], ['1', '2', '0', '1'])
  (['1', '1', '0', '1'], ['0', '1', '0', '1'])
  (['0', '2', '0', '1'], ['0', '2', '0', '0'])
  (['0', '2', '0', '1'], ['0', '2', '1', '1'])
  (['0', '2', '0', '1'], ['0', '3', '0', '1'])
  (['1', '2', '0', '1'], ['1', '2', '0', '0'])
  (['1', '2', '0', '1'], ['1', '2', '1', '1'])
  (['1', '2', '0', '1'], ['1', '3', '0', '1'])
  (['1', '2', '0', '1'], ['0', '2', '0', '1'])
  (['2', '2', '0', '1'], ['2', '2', '0', '0'])
  (['2', '2', '0', '1'], ['2', '1', '0', '1'])
  (['2', '2', '0', '1'], ['1', '2', '0', '1'])
  (['0', '3', '0', '1'], ['0', '3', '0', '0'])
  (['0', '3', '0', '1'], ['0', '2', '0', '1'])
  (['1', '3', '0', '1'], ['1', '3', '0', '0'])
  (['1', '3', '0', '1'], ['1', '2', '0', '1'])
  (['1', '3', '0', '1'], ['0', '3', '0', '1'])
  (['2', '3', '0', '1'], ['2', '3', '0', '0'])
  (['2', '3', '0', '1'], ['2', '2', '0', '1'])
  (['2', '3', '0', '1'], ['1', '3', '0', '1'])
  (['0', '0', '1', '1'], ['0', '1', '1', '1'])
  (['0', '0', '1', '1'], ['1', '0', '1', '1'])
  (['2', '0', '1', '1'], ['2', '0', '1', '0'])
  (['2', '0', '1', '1'], ['2', '0', '0', '1'])
  (['1', '0', '1', '1'], ['1', '0', '1', '0'])
  (['1', '0', '1', '1'], ['1', '1', '1', '1'])
  (['1', '0', '1', '1'], ['2', '0', '1', '1'])
  (['0', '1', '1', '1'], ['0', '2', '1', '1'])
  (['0', '1', '1', '1'], ['1', '1', '1', '1'])
  (['1', '1', '1', '1'], ['1', '1', '1', '0'])
  (['1', '1', '1', '1'], ['1', '2', '1', '1'])
  (['1', '1', '1', '1'], ['2', '1', '1', '1'])
  (['2', '1', '1', '1'], ['2', '1', '1', '0'])
  (['2', '1', '1', '1'], ['2', '1', '0', '1'])
  (['2', '1', '1', '1'], ['2', '0', '1', '1'])
  (['0', '2', '1', '1'], ['0', '2', '1', '0'])
  (['0', '2', '1', '1'], ['0', '3', '1', '1'])
  (['0', '2', '1', '1'], ['1', '2', '1', '1'])
  (['1', '2', '1', '1'], ['1', '2', '1', '0'])
  (['1', '2', '1', '1'], ['1', '3', '1', '1'])
  (['1', '2', '1', '1'], ['2', '2', '1', '1'])
  (['2', '2', '1', '1'], ['2', '2', '1', '0'])
  (['2', '2', '1', '1'], ['2', '2', '0', '1'])
  (['2', '2', '1', '1'], ['2', '1', '1', '1'])
  (['0', '3', '1', '1'], ['0', '3', '1', '0'])
  (['0', '3', '1', '1'], ['0', '3', '0', '1'])
  (['0', '3', '1', '1'], ['0', '2', '1', '1'])
  (['0', '3', '1', '1'], ['1', '3', '1', '1'])
  (['1', '3', '1', '1'], ['1', '3', '1', '0'])
  (['1', '3', '1', '1'], ['1', '3', '0', '1'])
  (['1', '3', '1', '1'], ['1', '2', '1', '1'])
  (['1', '3', '1', '1'], ['2', '3', '1', '1'])
  (['1', '3', '1', '1'], ['2', '3', '1', '1'])
  (['2', '3', '1', '1'], ['2', '3', '1', '0'])
  (['2', '3', '1', '1'], ['2', '3', '0', '1'])
  (['2', '3', '1', '1'], ['2', '2', '1', '1'])
 Unknown values: 0
